Timestamp,id,Age in years,Sex,1. Biology is very interesting to me.,"2. I don't like biology, and it scares me to have to take it.",3. I am always under a terrible strain in a biology class.,4. Biology is fascinating and fun,"5. Biology makes me feel secure, and at the same time, it is stimulating.","6. Biology makes me feel uncomfortable, restless, irritable, and impatient.","7. In general, I have a good feeling toward biology.","8. When I hear the word biology, I have a feeling of dislike.",9. I approach biology with a feeling of hesitation.,10. I really like biology.,11. I have always enjoyed studying biology in school.,12. It makes me nervous to even think about doing a biology experiment.,13. I feel at ease in biology and like it very much.,14. I feel a definite positive reaction to biology; it's enjoyable.,Biology is,Biology is,Biology is,Biology is ,Biology is,Biology is ,Biology is ,Biology is
2021/11/14 11:44:09 AM GMT+2,24,17,Female,5,4,3,2,5,5,5,1,5,5,4,4,4,5,1,2,1,2,2,3,2,5
2021/11/14 11:53:25 AM GMT+2,25,17,Female,5,2,1,4,4,2,4,1,3,5,4,2,4,4,1,1,4,3,2,4,2,3
2021/11/14 11:55:36 AM GMT+2,26,17,Female,4,2,4,4,4,4,4,2,4,4,4,4,4,4,1,1,5,5,1,3,1,5
2021/11/14 12:03:52 PM GMT+2,28,17,Female,5,2,1,4,5,3,5,1,3,5,4,2,4,5,1,2,5,4,1,5,2,4
2021/11/14 12:09:50 PM GMT+2,29,17,Female,5,1,1,5,5,1,5,1,5,5,5,1,5,5,1,1,5,5,1,5,1,1
2021/11/14 12:13:47 PM GMT+2,30,17,Female,5,1,2,5,5,2,5,1,5,5,4,5,5,5,1,1,5,5,3,5,1,1
2021/11/14 12:16:05 PM GMT+2,31,17,Female,4,1,2,2,4,1,5,2,3,5,4,5,4,4,1,1,5,5,1,5,1,5
2021/11/14 12:18:10 PM GMT+2,32,17,Female,4,1,1,5,4,1,5,1,4,4,4,3,5,5,1,1,5,5,1,5,1,1
2021/11/14 12:20:28 PM GMT+2,33,15,Female,5,1,1,1,5,1,5,2,2,4,3,2,4,5,2,2,2,4,2,1,1,1
2021/11/14 12:47:30 PM GMT+2,34,19,Female,4,2,2,2,5,4,4,2,2,5,5,4,5,5,5,5,1,2,5,1,5,1
2021/11/14 12:49:28 PM GMT+2,35,16,Female,4,1,2,2,4,1,5,1,3,5,4,1,5,4,1,1,5,5,1,5,2,1
2021/11/14 12:51:36 PM GMT+2,36,18,Female,4,2,1,4,4,2,5,1,1,5,5,4,4,4,1,1,5,5,1,5,2,5
2021/11/14 12:53:10 PM GMT+2,37,17,Female,5,2,1,4,4,2,5,1,2,5,5,2,4,5,1,1,5,5,1,5,1,1
2021/11/14 1:00:07 PM GMT+2,38,17,Female,5,2,2,2,4,1,4,2,3,5,5,4,4,4,1,1,2,4,3,5,3,5
2021/11/14 1:04:56 PM GMT+2,39,18,Female,5,1,2,4,4,1,5,1,2,5,5,2,5,5,5,4,2,1,2,1,5,1
2021/11/14 1:06:54 PM GMT+2,40,17,Female,5,1,3,4,5,2,5,1,1,5,5,5,5,4,1,2,5,4,2,4,1,4
2021/11/14 1:08:20 PM GMT+2,41,17,Female,4,1,1,4,4,1,5,1,2,5,5,2,4,5,1,1,5,5,1,5,1,1
2021/11/14 1:10:12 PM GMT+2,42,15,Female,5,1,3,3,3,1,4,2,3,2,1,2,2,3,1,3,5,3,1,5,2,3
2021/11/14 1:12:19 PM GMT+2,43,16,Female,5,2,5,5,4,1,5,1,5,5,5,4,5,1,1,1,5,3,2,5,1,4
2021/11/14 1:14:14 PM GMT+2,44,17,Female,5,1,1,5,5,1,5,1,1,5,5,5,5,5,1,1,5,5,1,5,1,1
