School,Topic,Test,Grades,,,,
Control,,POSTTEST,37,,,,
Control,,POSTTEST,44,,,,
Control,,POSTTEST,42,,,,
Control,,POSTTEST,43,,,,
Control,,POSTTEST,52,,,,
Control,,POSTTEST,42,,,,
Control,,POSTTEST,53,,,,
Control,,POSTTEST,34,,,,
Control,,POSTTEST,43,,,,
Experimental,,POSTTEST,65,,,,
Experimental,,POSTTEST,60,,,,
Experimental,,POSTTEST,60,,,,
Experimental,,POSTTEST,55,,,,
Experimental,,POSTTEST,57,,,,
Experimental,,POSTTEST,55,,,,
Experimental,,POSTTEST,63,,,,
Experimental,,POSTTEST,64,,,,
Experimental,,POSTTEST,58,,,,
Experimental,,POSTTEST,58,,,,
Experimental,,POSTTEST,54,,,,
Experimental,,POSTTEST,57,,,,
Experimental,,POSTTEST,64,,,,
Experimental,,POSTTEST,41,,,,
Experimental,,POSTTEST,68,,,,
Experimental,,POSTTEST,65,,,,
Experimental,,POSTTEST,62,,,,
Experimental,,POSTTEST,68,,,,
Experimental,,POSTTEST,61,,,,
Experimental,,POSTTEST,61,,,,
Experimental,,POSTTEST,63,,,,
Experimental,,POSTTEST,49,,,,
Experimental,,POSTTEST,56,,,,
Experimental,,POSTTEST,61,,,,
Experimental,,POSTTEST,54,,,,
Experimental,,POSTTEST,57,,,,
Experimental,,POSTTEST,61,,,,
Experimental,,POSTTEST,63,,,,
Experimental,,POSTTEST,59,,,,
Experimental,,POSTTEST,55,,,,
Experimental,,POSTTEST,69,,,,
Experimental,,POSTTEST,67,,,,
Experimental,,POSTTEST,64,,,,
Experimental,,POSTTEST,57,,,,
Experimental,,POSTTEST,59,,,,
Experimental,,POSTTEST,55,,,,
Experimental,,POSTTEST,46,,,,
Experimental,,POSTTEST,66,,,,
Experimental,,POSTTEST,66,,,,
Experimental,,POSTTEST,63,,,,
Experimental,,POSTTEST,65,,,,
Experimental,,POSTTEST,65,,,,
Experimental,,POSTTEST,58,,,,
Experimental,,POSTTEST,63,,,,
